Term,Abbreviations,Meaning,Links,Category,Rarity,Usage Notes,Questions and to-do items,Markdown Links,In Contract?,
UAW contract (2022-2025),,The document governing the relationship between the UC and grad students and postdocs.,https://ucnet.universityofcalifornia.edu/resources/employment-policies-contracts/bargaining-units/academic-student-employees/contract/,Misc.,  Common,,,https://ucnet.universityofcalifornia.edu/resources/employment-policies-contracts/bargaining-units/academic-student-employees/contract/,,
UC framework for sustainable investment,,,,Misc.,Rare,,,,,
University of California Retirement Program,UCRP,Retirement plan for UC emplyees.,https://ucnet.universityofcalifornia.edu/benefits/retirement/,Misc.,Rare,,,https://ucnet.universityofcalifornia.edu/benefits/retirement/,,
UC Student Health Insurance Plan,UCSHIP,,"https://ucnet.universityofcalifornia.edu/wp-content/uploads/labor/bargaining-units/bx/docs/bx_14-health-benefits_2022-2025.pdf
https://myucship.org/uc-santa-cruz/benefits-101/about-uc-ship/",Misc., Uncommon,,,"https://ucnet.universityofcalifornia.edu/wp-content/uploads/labor/bargaining-units/bx/docs/bx_14-health-benefits_2022-2025.pdf
https://myucship.org/uc-santa-cruz/benefits-101/about-uc-ship/",,
unfair labor practice,ULP,,,Misc.,  Common,,,,,
Unite All Workers for Democracy,UAWD,A grassroots movement with the goal of making the UAW a more democratic and accountable to rank and file members.,https://uawd.org/about/,Misc.,Rare,,,https://uawd.org/about/,,
Voluntary Community Action Program,"VCAP, V-CAP, CAP","V-CAP is the UAW’s political action program, which includes the Union’s PAC (Political Action Committee). The PAC fund is made up of voluntary contributions from UAW members,
both active and retired. The money is used to support pro-worker political candidates who have earned the endorsement of the UAW Community Action Program (UAW CAP).","https://ucnet.universityofcalifornia.edu/wp-content/uploads/labor/bargaining-units/bx/docs/bx_31-union-security_2022-2025.pdf
https://uaw.org/wp-content/uploads/2023/12/PUB-C2015-What-is-V-CAP-REVISED-COVER-07312018-APPROVED-PR08062018.pdf",Misc.,Rare,,,,,
wildcat strike,,"A wildcat strike is an unsanctioned strike. Does not have legal protections against retaliations. At UCSC, ""The Wildcat"" typically refers to the wildcat strike that happened 2019-2020.",,Misc.,  Common,,,,,
work-to-rule,WTR,"A work actions in which employees do no more than the minimum required by the rules of their contract or job, and strictly follow time-consuming rules that are normally not enforced.",,Misc., Uncommon,,,,,
Worker Student Solidarity Coalition,WSSC,Group at UCSC.,,Misc.,Rare,,,,,
Youth Labor Organizing Corps,YLOC,,https://www.yloc-uaw.org/,Misc.,Rare,,,,,
Academic Workers for a Democratic Union,AWDU,,,Other Unions, Uncommon,,,,,
AFSCME 3299,,"Union for UC service workers, patient care technical workers, and skilled craft workers",https://afscme3299.org/,Other Unions,Rare,,,https://afscme3299.org/,,
American Federation of Labor and Congress of Industrial Organizations,AFL-CIO,A federation of 60 national and international labor unions that represent more than 12.5 million working people.The International UAW is a member (affiliated union) in the AFL-CIO.,"https://aflcio.org/
List of affiliated unions: https://aflcio.org/about-us/our-unions-and-allies/our-affiliated-unions",Other Unions, Uncommon,,,"https://aflcio.org/, [List of affiliated unions](https://aflcio.org/about-us/our-unions-and-allies/our-affiliated-unions)",,
American Federation of Teachers,AFT,The union for non-senate faculty (lecturers) at UCSC.,,Other Unions, Uncommon,,,,,
Boston University Graduate Workers Union,BUGWU,,,Other Unions,Rare,,,,,
Faculty Associations,FA,,,Other Unions,Rare,,,,,
Graduate Employees’ Organization,GEO ,The graduate student union at University of Michigan.,https://www.geo3550.org/,Other Unions,Rare,,,https://www.geo3550.org/,,
International Longshore and Warehouse Union,ILWU,,,Other Unions, Uncommon,,,,,
Monterey Bay Central Labor Council,MBCLC,A group of unions in Santa Cruz and Monterey Counties. The local body of AFL-CIO.,https://mbclc.org/about-us,Other Unions,Rare,,,https://mbclc.org/about-us,,
National Education Association,NEA,"A union that represents public school teachers and other support personnel, faculty and staffers at colleges and universities, retired educators, and college students preparing to become teachers. It is the larget labor union in the US.",,Other Unions,Rare,,,,,
Student Dining Workers Union ,SDWU,,,Other Unions,Rare,,,,,
Teamsters Union,,The union for UPS and...,,Other Unions, Uncommon,,,,,
UC Santa Cruz Faculty Association,SCFA,Union that represents all UCSC Senate faculty members.  ,https://ucscfa.org/,Other Unions, Uncommon,,,https://ucscfa.org/,,
UC-AFT Local 1474,UC-AFT,Union for that represents Non-Senate Faculty and Librarians of the University of California. Affiliated with the California Federation of Teachers and the American Federation of Teachers.,https://ucaft.org/content/about-uc-aft,Other Unions, Uncommon,,,https://ucaft.org/content/about-uc-aft,,
UCLA Faculty Association,UCLAFA,,,Other Unions,Rare,,,,,
United Labor Unions,ULU,A coalition of unions.,,Other Unions,Rare,,,,,
Anti-Defamation League,ADL,"A New York–based international Jewish pro-Israel non-governmental organization and advocacy group. The leader has said, ""anti-Zionism is antisemitism.""",,Palestine,Rare,,,,,
"Boycott, Divestment and Sanctions",BDS,,,Palestine, Uncommon,,,,,
Hillel: The Foundation for Jewish Campus Life,Hillel,The largest Jewish campus organization in the world.,,Palestine, Uncommon,,,,,
intifada,,"In English-language usage, primarily refers to Palestinian uprisings against Israeli occupation. 
Historically, Intifada has been used to describe both violent and nonviolent methods of resistance, so its usage risks misinterpretation.",,Palestine, Uncommon,,,,,
Israel Defense Forces,IDF,The Israeli military. ,,Palestine,  Common,,,,,
Israel Offense Forces,IOF,A slang term used for the Israel Defense Forces to highlight that their behavior has little to do with defense.,,Palestine, Uncommon,,,,,
keffiyeh,,"In Palestine, the keffiyeh is distinctly patterned black-and-white headressing. The pattern and coloring differ in other regions.",Palestinian keffiyeh - Wikipedia,Palestine, Uncommon,,,Palestinian keffiyeh - Wikipedia,,
Nakba,,The ethnic cleansing of Palestinians in the region of Palestine during 1948 to make way for the founding of Israel.,"https://en.wikipedia.org/wiki/Nakba
https://en.wikipedia.org/wiki/Nakba_Day",Palestine, Uncommon,,,"https://en.wikipedia.org/wiki/Nakba
https://en.wikipedia.org/wiki/Nakba_Day",,
Palestinian Campaign for the Academic and Cultural Boycott of Israel,PACBI,,"Organization: https://bdsmovement.net/pacbi
Academic boycott: https://bdsmovement.net/pacbi/academic-boycott-guidelines
Wikipedia: https://en.m.wikipedia.org/wiki/Palestinian_Campaign_for_the_Academic_and_Cultural_Boycott_of_Israel",Palestine, Uncommon,,,"Organization: https://bdsmovement.net/pacbi
Academic boycott: https://bdsmovement.net/pacbi/academic-boycott-guidelines
Wikipedia: https://en.m.wikipedia.org/wiki/Palestinian_Campaign_for_the_Academic_and_Cultural_Boycott_of_Israel",,
Palestinian General Federation of Trade Unions ,,,,Palestine,Rare,,,,,
watermelon (symbol),🍉,"Watermelon is a symbol of Palestine. It has the Green, Red, and Black found on the flag. It is famous for a Zionist soldier trying to censor watermelons during the 1980's (Israel banned Palestinian flags).",https://www.npr.org/2024/01/08/1222718339/why-watermelons-are-symbol-of-palestinian-solidarity,Palestine,Rare,,,https://www.npr.org/2024/01/08/1222718339/why-watermelons-are-symbol-of-palestinian-solidarity,,
California Assembly Bill No. 673,AB 673,An amendment to the California labor law (Labor Code section 210) to allow employees to collect penalties for late wages. ,"https://www.dir.ca.gov/dlse/Late-Payment-of-Wages.htm
https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB673",Paychecks and Timesheets,Rare,,,,,
California Labor Code section 210,CA Labor Code 210,"A section of the California labor law that imposes penalties when employeers fail to pay employees what they are owed, or pay late. AB 673 amended this section so that penalties are paid to the employee, but Labor Code Section 220 except employees of California from section 210. ",https://www.dir.ca.gov/dlse/Late-Payment-of-Wages.htm,Paychecks and Timesheets,Rare,,,,,
California Labor Code Section 510,CA Labor Code 510,Law ensuring overtime is paid at double-rate in particular situations.,https://california.public.law/codes/ca_lab_code_section_510,Paychecks and Timesheets,Rare,,,,,
DC Plan Safe Harbor,,"The DC Plan Safe Harbor is an obligatory retirement plan for UC emplyees. Safe Harbor participants contribute 7.5% of their wages, on a pretax basis, in lieu of contributing to Social Security.",,Paychecks and Timesheets,,,,,yes,
DC Plan Voluntary Contribution,,DC Plan Voluntary Contribution is an optional retirement plan for UC emplyees. ,,Paychecks and Timesheets,,,,,yes,
Defined Contribution Plan,"DCP, DC Plan","Defined Contribution Plan is a retirement plan for UC emplyees. There are two components ""DC Plan Safe Harbor"" and and ""DC Plan Voluntary Contributions"".",https://ucnet.universityofcalifornia.edu/benefits/retirement/,Paychecks and Timesheets,Rare,,,https://ucnet.universityofcalifornia.edu/benefits/retirement/,yes,
Do Not Export,DNE,Used by Timekeepers to prevent the timesheet from exporting from CruzPay to UCPath for payment (Student/HAC),https://financial.ucsc.edu/Pages/CruzPay_Timesheet_Coordinator_Manual.aspx#pay_staff,Paychecks and Timesheets,Rare,,,,,
full-time equivalent,FTE,"Full-time equivalent is a unit of measurement for workload of a worker. A worker's FTE is the number of total hours worked divided by the maximum number of compensable hours in a full-time schedule as defined by law (i.e, 40 hours).",https://en.wikipedia.org/wiki/Full-time_equivalent,Paychecks and Timesheets, Uncommon,,,,yes,*
in absentia,,In absentia status is a form of registration available to graduate students undertaking necessary coursework or research related to their degree programs outside the designated local campus region.,,Paychecks and Timesheets, Uncommon,,,,maybe?,
Leave No Pay,LNP,CruzPay: Timesheet code,https://financial.ucsc.edu/Pages/CruzPay_Timesheet_Coordinator_Manual.aspx#pay_staff,Paychecks and Timesheets,  Common,,,,,
leave without pay,LWP,,,Paychecks and Timesheets, Uncommon,,,,,
"Old-Age, Survivors and Disability Insurance ",OASDI,"Social Security payements, which appear on pay statements. ",,Paychecks and Timesheets,Rare,,,,,
paid in arrears,,"Payment that is made after work is completed, as opposed to advanced payment.",,Paychecks and Timesheets,Rare,,,,,
pay docking,,Deducting a portion of a paycheck for days that were not worked during a pay period. ,,Paychecks and Timesheets,  Common,,,,,
System BR dues,,Union dues for the BR bargaining unit,,Paychecks and Timesheets, Uncommon,,,,,
System BX dues,,Union dues for the BX bargaining unit,,Paychecks and Timesheets, Uncommon,,,,,
UCPath,,UCPath is the payroll website for the UC.,https://ucpath.universityofcalifornia.edu/home,Paychecks and Timesheets,  Common,,,https://ucpath.universityofcalifornia.edu/home,yes,
"""all cops are bastards""","ACAB, 1312",A political slogan used by people who are opposed to the police.,ACAB - Wikipedia,Policing,Rare,,,ACAB - Wikipedia,,
"body worn video, body worn camera","BWV, BWC",Body cameras worn by police officers.,UCPD body camera policy: https://police.ucsc.edu/report/policies/body-worn-camera.html,Policing,Rare,,,UCPD body camera policy: https://police.ucsc.edu/report/policies/body-worn-camera.html,,
carceral,,"""Of or pertaining to prison."" Used frequently in police abolition discussions.",Carceral Definition & Meaning - Merriam-Webster,Policing,Rare,,,Carceral Definition & Meaning - Merriam-Webster,,
cops off campus,"COC, CoC","A demand made by some union members, especially starting at the 2019-2020 wildcat strike.",,Policing,  Common,,,,,
defund the police,,A movement and demand to reduce the funding for police departments.,,Policing,  Common,,,,,
Federated University Police Officers Association,FUPOA,Union for UCPD officers,"Website: https://federateduniversitypoa.org/about-fupoa
Contract: https://ucnet.universityofcalifornia.edu/resources/employment-policies-contracts/bargaining-units/police-officers/contract/",Policing,Rare,,,"Website: https://federateduniversitypoa.org/about-fupoa
Contract: https://ucnet.universityofcalifornia.edu/resources/employment-policies-contracts/bargaining-units/police-officers/contract/",,
Immigration and Customs Enforcement ,ICE ,,,Policing,Rare,,,,,
Incident Commander,,,,Policing,Rare,,,,,
know your rights,KYR,,,Policing,Rare,,,,,
memorandum of understanding,MOU,An agreement between multiple parties.,,Policing,Rare,,,,yes,
Memorandum of understanding (policing),MOU,An agreement between police agencies to come to each others assistance(?),,Policing,Rare,,,,,
National Association for Civilian Oversight of Law Enforcement,NACOLE,,https://www.nacole.org/,Policing,Rare,,,,,
oleoresin capsaicin,OC,Pepper spray,,Policing,Rare,,,,,
police abolition,abolition,A movement and demand to get rid of all police.,,Policing,  Common,,,,,
Police Accountability Board,PAB,,"https://policeaccountability.ucsc.edu/
Description of powers: https://policeaccountability.ucsc.edu/bylaws/",Policing,Rare,,,"https://policeaccountability.ucsc.edu/
Description of powers: https://policeaccountability.ucsc.edu/bylaws/",,
Public Safety Officers Procedural Bill of Rights,POBR, Government Code section 3300 et seq.,,Policing,Rare,,,,,
UCSC Police Department,UCSCPD,,,Policing, Uncommon,,,,,
counseling memoranda,,A message from the UC sent to employees regarding employment that does not (formally) count as discipline.,,Student and Worker Discipline, Uncommon,,,,yes,
notice of intent,,"A notice of intent informs a worker of the disciplinary or dismissal action proposed, the reason for the proposed action including applicable documentation and the effective date(s) of the action. The nature of such notices are described in the union contracts.",,Student and Worker Discipline, Uncommon,,,,yes,
notice of intent to dismiss,NOID,A notice of intent to dismiss is a notificaiton sent by the UC to inform a work that they will be fired.,,Student and Worker Discipline, Uncommon,,,,yes,
Skelly hearing,,A meeting that employers are legally obligated to hold after announcing discipline against a worker.,https://shr.ucsc.edu/elr/sup-term-guide/skelly.html,Student and Worker Discipline,Rare,,,https://shr.ucsc.edu/elr/sup-term-guide/skelly.html,,
warning letter,WL,"A “written warning” is a communication that informs a worker of alleged misconduct or deficiency, the method of correction, and the probable consequence of continued misconduct or deficiency.",,Student and Worker Discipline,  Common,,,,yes,
"""Fresh Air"" program ",,The UCSC's post-2022 strike budget revamp where much of department's discretionary spending at UCSC has evaporated and unspent funds go back to central admin.,,UC Structure, Uncommon,,,,,
Academic Human Resources,AHR,,,UC Structure, Uncommon,,,,,
Academic Personnel Office,APO,,https://apo.ucsc.edu/,UC Structure,  Common,,,https://apo.ucsc.edu/,,
academic senate,,A legislative body and a system of committees run by and for the faculty.,About the Academic Senate,UC Structure,Rare,,,About the Academic Senate,,
assistant vice president,AVP,A subordinate of the UC President.,,UC Structure,Rare,,,,,
Board of Regents,,"The University of California is governed by a 26-member Board of Regents that exercises approval over university policies, financial affairs, tuition and fees. The control of the UC by the regents is enshrined in the CA Constitution. The board of regents consists of 18 regents appointed by the governor for 12-year terms, one student appointed by the Regents to a one-year term, and seven ex officio members — the Governor, Lieutenant Governor, Speaker of the Assembly, Superintendent of Public Instruction, president and vice president of the Alumni Associations of UC and the UC president.",Relevant portion of CA constitution: https://law.justia.com/constitution/california/article-ix/section-9/,UC Structure,  Common,,,Relevant portion of CA constitution: https://law.justia.com/constitution/california/article-ix/section-9/,yes,
Campus Provost,CP,See Executive Vice Chancellor and Campus Provost.,,UC Structure, Uncommon,,,,,
chancellor,,"Each UC campus has a chancellor who is the executive head of the campus. Each chancellor is appointed by the Board of Regents. The chancellor of each campus sets the policies, goals and strategic direction; is responsible for internal administration, operation, financial management, and discipline; oversees all faculty and staff; and appoints all members of the instructional staff.

The chancellor of UCSC is Cynthia ""Cindy"" Larive. ",https://regents.universityofcalifornia.edu/governance/bylaws/bl31.html,UC Structure,  Common,,,https://regents.universityofcalifornia.edu/governance/bylaws/bl31.html,,
Committee on Educational Policy,CEP,Committee in the UCSC Faculty Senate.,"https://senate.ucsc.edu/committees/cep-committee-on-educational-policy/index.html
Committee members list:
https://senate.ucsc.edu/about/2023-24-stcom_web.pdf",UC Structure,Rare,,,"https://senate.ucsc.edu/committees/cep-committee-on-educational-policy/index.html
Committee members list:
https://senate.ucsc.edu/about/2023-24-stcom_web.pdf",,
Educational Opportunity Programs,EOP,"Provides various academic and personal support programs to first-generation to college, low-income students with diverse social and personal identities and from historically marginalized backgrounds",https://eop.ucsc.edu/index.html,UC Structure,Rare,,,https://eop.ucsc.edu/index.html,,
Employee & Labor Relations,"LR, ELR","The university department that serves as a liaison to campus labor unions, and represents the campus in employment matters, such as contract-violation grievances and contract negotiations.",https://shr.ucsc.edu/elr/,UC Structure, Uncommon,,,,,
Equal Employment Opportunity,EEO,A department within the Equity & Equal Protection Office.,,UC Structure,Rare,,,,,
Equity & Equal Protection,EEP,"The Equity & Equal Protection Office is responsible for the administration of UCSC’s policies and procedures regarding discrimination and harassment on the basis of race, religion, disability, sex, gender, age and other protected identities.",https://equity.ucsc.edu/about/otherabouts/index.html,UC Structure,Rare,,,,,
Executive Vice Chancellor,EVC,See Executive Vice Chancellor and Campus Provost.,,UC Structure, Uncommon,,,,,
Executive Vice Chancellor and Campus Provost,"CPEVC, CP&EVC","The CP/EVC UCSC’s chief academic, operations and budget officer, guiding the academic enterprise and managing the university’s day-to-day operations. As of May 2024, the CP/EVC at UCSC is Lori Kletzer.",,UC Structure, Uncommon,,,,,
principle investigator,PI,The lead researcher for a grant project. Typically a faculty member.,,UC Structure, Uncommon,,,,,
Self-supporting graduate professional degree program,SSGPDP,"Self-supporting graduate professional degree programs
(SSGPDPs) are programs in which all program costs, both
direct and indirect, are covered by revenues generated by
the program such as student charges or alternative
revenues that are not disallowed funds (e.g., state general
funds or student tuition and fees). As of 2024, there are no SSGPDPs at UCSC (https://www.ucop.edu/operating-budget/_files/ssgpdp/attachment_a_description_and_summary_table.pdf)",https://www.ucop.edu/institutional-research-academic-planning/_files/SSGPDP_topic_brief.pdf,UC Structure,Rare,,,,maybe?,
Transportation & Parking Services,TAPS,"UCSC department in charge of parking, buses, and other transportation issues.",,UC Structure,Rare,,,,,
UC Office of the President,"UCOP, OP",The UC president is the head of the entire UC system. The current UC president is Michael V. Drake. ,https://ucop.edu/president/index.html,UC Structure,  Common,,,https://ucop.edu/president/index.html,,
Undocumented Student Services,USS,Provides guidance and support to undergraduate and graduate undocumented students at UC Santa Cruz,https://eop.ucsc.edu/undocumented_student_services/index.html,UC Structure,Rare,,,https://eop.ucsc.edu/undocumented_student_services/index.html,,
bottomliner ,,A person in charge of a particular action item. ,,Union Slang,  Common,,,,,
broketober,,"Many grad students are not paid during the summer. The month of October, after the summer when grad students tend to be running low on money due to a lack of summer funding and fall funding not being dispersed until Nov 1.",,Union Slang,Rare,,,,,
comrade,,Fellow union members.,,Union Slang,  Common,,,,,
amalgamation,,"Refers to the merger of two union bodies. In particular, the local unions UAW 2865 (for ASE's and GSR's) and UAW 5810 (for postdocs and AR's) combined to form UAW 4811 that was done in Fall 2023.",,Union Structure,  Common,,,,,
bargaining unit,,"There are three statewide bargaining units in UAW 4811: Academic Student Researchers (ASE), Post-docs (PD), and Academic Researchers (AR). Beyond UAW, there are 15 bargaining units in the UC, as of 2024.","List of all bargaining units in the UC, along with their contracts: https://ucnet.universityofcalifornia.edu/resources/employment-policies-contracts/bargaining-units/

UC FAQ about bargaining units: Frequently asked questions about bargaining units",Union Structure,  Common,,,"List of all bargaining units in the UC, along with their contracts: https://ucnet.universityofcalifornia.edu/resources/employment-policies-contracts/bargaining-units/

UC FAQ about bargaining units: Frequently asked questions about bargaining units",yes,
Campus Unit,,,,Union Structure,  Common,,,,,
executive board,EB,"The EB is a governing body for the statewide union consisting of eleven members. Decisions of the EB may be overruled by the Joint Council.
As of May 2024, the only member of the EB from UCSC is Jacob Fortana. ",LEADERSHIP — UAW 4811,Union Structure,  Common,,,LEADERSHIP — UAW 4811,,
head steward,,"As of May 2024, the head stewards at UCSC are Isabel Kain and Summer Sullivan. ",LEADERSHIP — UAW 4811,Union Structure, Uncommon,,,LEADERSHIP — UAW 4811,,
horizontal,,"Refers to grassroots organizing that happens among the rank-and-file, instead of top-down direction from the leadership.",,Union Structure,  Common,,,,,
International Executive Board,IEB,"As of May 2024, includes Shawn Fain as President, the Secretary-Treasurer, 3 Vice Presidents, and the Directors of each of the Regions. For the most part, we don't directly interface with them at all, but when they go up for election, we can vote for those positions, as their decisions have material impacts (for example, they have made decisions on the amount of strike pay per week).",,Union Structure,Rare,,,,,
International UAW,IUAW ,,,Union Structure,Rare,,,,,
Joint Council,JC,,,Union Structure, Uncommon,,,,,
Membership Election Form,MEF,Digitial or physical cards that are filled by workers to indicate whether they choose to be a member of the union. ,"https://ucnet.universityofcalifornia.edu/wp-content/uploads/labor/bargaining-units/bx/docs/bx_31-union-security_2022-2025.pdf
https://ucnet.universityofcalifornia.edu/wp-content/uploads/labor/bargaining-units/bx/docs/bx_appendix-c_mef-form_2022-2025.pdf",Union Structure, Uncommon,,,,,
organizing committee,OC,"A group of union people that meets every week. Outside of strike times, it's a small group. Handles day-to-day issues, such as filing grievances, and handling long-term planning. open to everybody. Meets on Fridays. Tends to be focused on strategic decisions.",,Union Structure,  Common,,,,,
rank and file,R&F,Members of the union that are not in leadership.,,Union Structure,  Common,,,,,
Statewide Membership Meeting,SMM,"I believe that the UAW 8411 by-laws mandate one SMM per year, and they may be called at-need otherwise.

It is similar to a JC meeting, but all members who attend are entitled to a vote, and it’s decisions are “stronger” than JC decisions just like JC decisions are stronger than EB: any decision of the smaller body may (theoretically) be overruled by the larger.

In practice, an email will go out to all members about the meeting time and place. They are often long, and quite formal with regards to Robert’s Rules etc. They often include particularly important decisions

",,Union Structure, Uncommon,,,,,
UAW 4811,,"See UAW Local 4811. Often, ""Local"" is left out when discussing UAW Local 4811 since it is somewhat confusing that the ""local"" union is statewide, covering all of the UC campuses.)",https://www.uaw4811.org/,Union Structure,  Common,,,https://www.uaw4811.org/,,
UAW Constitution,,"The constitution of the international UAW and of every affiliated subordinate body (local unions). It provides the foundation for the day-to-day operations and sets forth the rights, guarantees and responsibilities of all UAW members.
See also the by-laws which are specific to each local union (in our case, the statewide UAW 4811).  
","UAW Constituion - UAW | United Automobile, Aerospace and Agricultural Implement Workers of America",Union Structure, Uncommon,,,"UAW Constituion - UAW | United Automobile, Aerospace and Agricultural Implement Workers of America",,
UAW Local 4811,UAW 4811,"The chapter of United Auto Workers labor union that represents academic student employees, graduate student researchers, academic researchers, and postdoctoral researchers from all the 11 campuses of the University of California system.",https://www.uaw4811.org/,Union Structure,  Common,,,https://www.uaw4811.org/,,
UAW Region 6,,"Regions are (generally) large geographical areas which have their own layer of staff. we're in Region 6, which covers ""Western States"": most workers in R6 are in California, but there's also some pretty heavy presence in Washington, as well as some others (many casino workers in Las Vegas are with UAW actually, with UAW 3555). key figures in a Region are the Director (the R6 Director is Mike Miller) and Servicing Reps, who are staff that can be assigned to do work with various Locals (often they could cover more than one at once, although our scale may change that; i'm not sure who the current Servicing Reps we might encounter are, although there's a good chance they're former 2865 folks who've ""gone up the ladder""). one of the main roles here is that all contracts, once ratified by the workers, actually go to the Regional Director for a final round of approval. it's *extremely* unlikely that they'd overturn a contract once ratified",,Union Structure,Rare,,,,,
UnionMade ,,A majority caucus in the JC. They are well organized and come into JC meetings already knowing if that have the votes they need.,,Union Structure,Rare,,I'm not sure on the spelling.,,,
Graduate Preparation Program,GPP,A short summer program at UCSC that helps prepare students who need to strengthen their English skills before they being their graduate studies. ,,Misc.,Rare,,,,,
Palestine Solidarity Coalition,,"A network of organizations at UCSC including Students for Justice in Palestine, Jewish Voice for Peace and UC Divest.",,Palestine,Rare,,,,,
bargaining impasse,,"In contract negoations, each side may file for an impasse in the negations with PERB. If PERB accepts, then the no-strike clause goes out of effect. PERB may determine that an impasse exists when “the parties have reached a point in meeting and conferring at which their differences in positions are such that further meetings would be futile."" (Higher Education Employer-Employee Relations Act [HEERA], Government Code Section 3562(j).) Once an impasse is declared by PERB, mediation and fact-finding can take anywhere from three to eight months.
In the case of the 2021 contract bargaining betweeh UC-AFT and the UC, an impasse was declared after two years of negations.",https://www.weteachuc.org/impasse-faq,Contracts and Strikes, Uncommon,,,,,
University Professional and Technical Employees,UPTE,"Union that covers healthcare, research, and technical workers in the UC (including some national laboratories). The bargaining units within the union are Healthcare (HX), Research (RX), and Technical (TX).",https://upte.org/history,Other Unions,Rare,,,,,
California Penal Code § 409,Section 409,"Law stating that remaining at a protest after a ""lawful dispersal order"" is a misdomener.",https://codes.findlaw.com/ca/penal-code/pen-sect-409/,Policing,Rare,,,,,
California Penal Code § 148,Section 148,"Law prohibiting willfully resisting, delaying, or obstructing police officers or emergency medical technician. ",https://codes.findlaw.com/ca/penal-code/pen-sect-148/,Policing,Rare,,,,,
Office of Sponsored Projects,OSP,,,Academic Department and Divisions,Rare,,,,,
Responsible Conduct of Research,RCR,"A training required by some research grants, such as from NSF.",https://officeofresearch.ucsc.edu/compliance/rcr/,Misc.,Rare,,,,,
National Science Foundation,NSF,,,Misc.,Rare,,,,,
Department of Energy,DOE,,,Misc.,Rare,,,,,
work break,wb,ASEs who appeared on UC’s employee list as being on a “short work break”. This usually means their ASE appointment ended last quarter and they aren't in the system as currently working but UC expects them to be rehired soon (and they could actually be working but their paperwork hasn't been processed yet).,,Misc.,Rare,,,,,
not in unit,NIU,,,Misc.,Rare,,,,,
Baskin School of Engineering,"BSOE, SOE",Academic Division at UCSC,,Academic Department and Divisions,Rare,,,,,
First-Year Exam,FYE,,,,,,,,,
"Univeristy of California, Berkeley","UCB, BK",,,UC Campus,Rare,,,,,
"Univeristy of California, Merced",UCM,,,UC Campus,Rare,,,,,
"Univeristy of California, Santa Cruz","UCSC, SC",,,UC Campus,Rare,"Technically not ""rare"", but we all know what it is :)",,,,
"Univeristy of California, Santa Barbara","UCSB, SB",,,UC Campus,Rare,,,,,
"Univeristy of California, Los Anglelos","UCLA, LA",,,UC Campus,Rare,,,,,
"Univeristy of California, Davis","UCD, DV",,,UC Campus,Rare,,,,,
"Univeristy of California, San Francisco","UCSF, SF",,,UC Campus,Rare,,,,,
University of California Law San Francisco,,Formerly UC Hastings,,UC Campus,Rare,,,,,
"Univeristy of California, San Diego","UCSD, SD",,,UC Campus,Rare,,,,,
"Univeristy of California, Irvine",UCI,,,UC Campus,Rare,,,,,
"Univeristy of California, Riverside",UCR,,,UC Campus,Rare,,,,,
Declined Membership and Uncontacted,DU,"This worker declined union membership on their hiring paperwork (did not sign a membership election form). None of their coworkers has contacted them about joining their union yet.
",https://docs.google.com/document/d/1BAUXoF7ah7dLUH0KIEP2KJ_KX5z1yvHwG2GIRY9BJZY/edit,Member Categories,Rare,,,,,
Revoked membership ,DN,"This worker was previously a member, up until they declined union membership on their hiring paperwork. ",https://docs.google.com/document/d/1BAUXoF7ah7dLUH0KIEP2KJ_KX5z1yvHwG2GIRY9BJZY/edit,Member Categories,Rare,,,,,
Do Not Contact,DNC,This worker indicated that they do not want to be contacted about the union.,,Member Categories,Rare,,,,,
working group,WG,An collection of people working on a particular task or project.,,Union Slang,  Common,,,,,
UC Agriculture and Natural Resources,UCANR,"UC Agriculture and Natural Resources ""connects the power of UC research in agriculture, natural resources, nutrition and youth development with local communities to improve the lives of all Californians.""",https://ucanr.edu/About/,UC Structure,Rare,,,,,
Locally Designated Official,LDO,"The person designated by each UC campus as the official with primary responsibility to receive reports of allegations of suspected
improper governmental activities. At UCSC, as of 2024, the LDO is Anna Finn, Associate Chancellor & Chief of Staff.",https://policy.ucop.edu/doc/1100171/Whistleblower,UC Structure,Rare,,,,,
Chief Ethics and Compliance Officer,CECO,"At UCSC, as of 2024, the CECO is Anna Finn, Associate Chancellor & Chief of Staff.",https://compliance.ucsc.edu/about/,UC Structure,Rare,,,,,
strike,,"A strike is a temporary stoppage of work by a group of workers (not necessarily union members, although we have well-established unions at UCSC) to express a grievance or enforce a demand. A strike is initiated by workers in contrast to a lock out which is done by an employer.",https://www.bls.gov/wsp/questions-and-answers.htm,Contracts and Strikes,,,,,yes,
work day,,A work day is defined as the weekdays Monday through Friday excluding Federal holidays.,https://www.bls.gov/wsp/questions-and-answers.htm,Laws and Regulations,,,,,maybe,
boycott,,A boycott is a concerted refusal to have dealings with to express disapproval or to force acceptance of certain conditions.,,Misc.,,,,,,
Bay Resistance,,"A project that provides hardship funds during strikes. It is run by the Center for Empowered Politics, which is itself (apparently) a lobbying and activism organization for the Chinese Progressive Association.",https://bayresistance.org/about/,Contracts and Strikes,,,,,,
hardship fund,,A fund that provides money to invididuals during strikes and other activist actions in reponse to personal hardships caused by those activities. Information about a the Bay Resitance 2024 hardship fund is available here: UAW Hardship fund: steps to apply Bay Resistance 2024.,,Contracts and Strikes,,,,,,
daily sheet,,1-page document for sharing publicly,,Union Slang,,,,,,
